Crime ID,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b113f68d7b2ded7e7365ae75205070d328afaa12027b0aa0a3eee4562ece00f6,City of London Police,City of London Police,-0.086166,51.510828,On or near EASTCHEAP,E01032739,City of London 001F,Investigation complete; no suspect identified
eb72cc7582b93678853bce123de86116e5e3000d6a1cf3866335f9087d357c72,City of London Police,City of London Police,-0.079283,51.511021,On or near SEETHING LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
70a17ec48e581343c94726c98a1695820c77cf301e3f261475bbe3e110f78d09,City of London Police,City of London Police,-0.10238,51.517728,On or near HOSIER LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
273505b9e1dc6a48e17b5cc6f2e2908d96f3f80dbbb13d8e51c8bc37db60908c,City of London Police,City of London Police,,,No location,,,Offender given a drugs possession warning
8c2e3fc51d4ff7f6e12474b30c9084cb4ddf8d44d13a223d1321c50501f3df6e,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Investigation complete; no suspect identified
c9bebdee04e58531f943ffffaaf828f50e4effc4357972d1b213ce007ec94289,City of London Police,City of London Police,-0.078484,51.51768,On or near CATHERINE WHEEL ALLEY,E01032739,City of London 001F,Investigation complete; no suspect identified
8c8bc390e69bd2495998d672840ccefddae086595c0a961be768ae952ee6ed87,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Investigation complete; no suspect identified
86d935d56f5f9caa47a112158c919919471ab3aa55b8b7cf3c2519555ce72a04,City of London Police,City of London Police,-0.079674,51.514409,On or near BURY STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
19b1f6d7705818c028b49e4caba03bba885ce5b6a172f89a08ecd034b24c2670,City of London Police,City of London Police,-0.080034,51.513389,On or near LEADENHALL STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
5167c6e8dabd15fb19249d2a7d9e92d2422bc9b38b6d59f5054355ee235aef58,City of London Police,City of London Police,-0.084618,51.512682,On or near GRACECHURCH STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
5a17c3e5c6555c87014467f8049152e6762d7fa9e79cb285d186112dbddb43d2,City of London Police,City of London Police,-0.088944,51.513319,On or near LOMBARD STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
2c25bd49e39f5f813e4d997b68234e534ebaf1fa3605a1278375e0f635e6aa96,City of London Police,City of London Police,-0.088203,51.518262,On or near MOORGATE,E01032739,City of London 001F,Investigation complete; no suspect identified
244a9f554406eda9c17b50a235049f03aae12da3cac2b8f584c7901e23e23147,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Offender given a caution
4c0e036db5820388617159096fb989248629ca3408983b457b95e75d94ecfa7c,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Suspect charged
e3e0f47ac98c576a2e1fbca7d868a217dd79d57b0e805767105703fa0e43a3df,City of London Police,City of London Police,-0.078393,51.515728,On or near CLOTHIER STREET,E01000005,City of London 001E,Suspect charged
39474f19121e857dcae168ff8654fc163141994a98ab2867390a4c09b9e5540e,City of London Police,City of London Police,-0.087118,51.513199,On or near Nightclub,E01032739,City of London 001F,Investigation complete; no suspect identified
e0cbeebc22f823179f1dda0260b053251f9884272edac1e6f118ebaff8ad6fee,City of London Police,City of London Police,-0.109709,51.517909,On or near HIGH HOLBORN,E01032740,City of London 001G,Offender given a drugs possession warning
3f10128a66de5d67a949e965ee29d38d0507c4638050e5ed387058f13a18134a,City of London Police,City of London Police,-0.074901,51.506255,On or near A100,E01004293,Tower Hamlets 027B,Offender given a drugs possession warning
ad186e35dcebd67081d37cc2fbca40b190271ca3245756764d8cacef934294f3,City of London Police,City of London Police,-0.082913,51.513463,On or near LEADENHALL STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
c83395f92cc4db8e70b7cf9aac790d3a3d0759d9a90ddf6e06bd1ed33224b92f,City of London Police,City of London Police,-0.090348,51.519358,On or near MOOR LANE,E01000002,City of London 001B,Investigation complete; no suspect identified
bc526385d46ab6ab76c23d536035c2a302b52c0336adc53c68db843a1616112e,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Suspect charged
5d41de90ae03d6e90574413d6443dba375cf490ef536174bf07080d35702e313,City of London Police,City of London Police,-0.084701,51.50932,On or near LOWER THAMES STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
d0ca6be7c363241324e8f47c3c0a3ab24268ab68f6e82bc27bb650d20aa658fd,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
f9cd32a8c919904e5b9c6738c710d80842b1dd6667082b46431a661ca3406c9e,City of London Police,City of London Police,-0.086764,51.510307,On or near FISH STREET HILL,E01032739,City of London 001F,Investigation complete; no suspect identified
f054bb421ff7d7deb4c2a600625294105bf58b9a14497270512929bd94fdb975,City of London Police,City of London Police,-0.080034,51.513389,On or near LEADENHALL STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
1a75981e4ee5184d66ae96744a3e56c344ec062ec2f00b6a2b578a62f35cdf8b,City of London Police,City of London Police,-0.101794,51.516207,On or near NEWGATE STREET,E01032740,City of London 001G,Investigation complete; no suspect identified
0c899cd635568c56b76833ce943ae39cf60762ee404aff33eb7f74a3d11677ba,City of London Police,City of London Police,-0.076592,51.514367,On or near Pedestrian Subway,E01000005,City of London 001E,Unable to prosecute suspect
daa0149bbea8cb4add4acca3ebfcdb877f815842c62749e2cd5806a76c745ae4,City of London Police,City of London Police,-0.104973,51.512887,On or near BRIDEWELL PLACE,E01032740,City of London 001G,Investigation complete; no suspect identified
2955cc86c7f1c3c83c1444c9e374320dec29861a9751f25864342b11bfe9f13d,City of London Police,City of London Police,-0.088203,51.518262,On or near MOORGATE,E01032739,City of London 001F,Investigation complete; no suspect identified
3175a70b556c76a1f48c1fa8e22d0b472a6c0134c39672bc6627d80545653565,City of London Police,City of London Police,-0.073065,51.51118,On or near GOODMAN'S YARD,E01000005,City of London 001E,Offender given a drugs possession warning
168dac8b700bfd575f2902a23b5d6f19459939e036188bc30294874d7f28deb5,City of London Police,City of London Police,-0.080034,51.513389,On or near LEADENHALL STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
